From,Entry,Entry Name,Protein names,Gene Names,Organism,Organism (ID),Length,Mass,Subcellular location [CC],Signal peptide,Helix,Beta strand,Turn,Fragment,Reviewed
P9WPU7,P9WPU7,ATPA_MYCTU,ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha),atpA Rv1308 MTCY373.28,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,549,59288,SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_01346}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01346}.,,"HELIX 8..20; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 82..84; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 104..106; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 154..159; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 178..187; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 190..195; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 213..225; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 228..230; /evidence=""ECO:0007829|PDB:8J0T""; HELIX 243..255; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 258..261; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 274..287; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 294..296; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 301..309; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 340..348; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 357..361; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 378..381; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 384..389; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 394..403; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 404..412; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 415..430; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 441..453; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 461..463; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 464..477; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 480..489; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 494..510; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 530..532; /evidence=""ECO:0007829|PDB:8J0S""","STRAND 29..38; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 41..46; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 54..58; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 62..69; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 74..78; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 90..97; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 99..103; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 119..121; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 127..131; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 139..142; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 169..177; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 202..211; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 231..238; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 266..272; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 323..331; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 349..355; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 374..377; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 514..516; /evidence=""ECO:0007829|PDB:8J0T""; STRAND 533..540; /evidence=""ECO:0007829|PDB:8J0S""","TURN 59..61; /evidence=""ECO:0007829|PDB:8J0S""; TURN 198..200; /evidence=""ECO:0007829|PDB:8J0S""; TURN 262..264; /evidence=""ECO:0007829|PDB:8J0S""; TURN 317..320; /evidence=""ECO:0007829|PDB:8J0S""; TURN 370..372; /evidence=""ECO:0007829|PDB:8J0S""; TURN 391..393; /evidence=""ECO:0007829|PDB:8J0S""; TURN 454..458; /evidence=""ECO:0007829|PDB:8J0S""",,reviewed
P9WPV1,P9WPV1,ATPE_MYCTU,ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit),atpC Rv1311 MTCY373.31,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,121,13135,SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.,,"HELIX 87..89; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 92..97; /evidence=""ECO:0007829|PDB:8J0S""; HELIX 104..117; /evidence=""ECO:0007829|PDB:8J0S""","STRAND 4..27; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 30..34; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 41..45; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 47..54; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 56..58; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 61..67; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 69..72; /evidence=""ECO:0007829|PDB:8J0S""; STRAND 77..85; /evidence=""ECO:0007829|PDB:8J0S""","TURN 74..76; /evidence=""ECO:0007829|PDB:5YIO""; TURN 98..100; /evidence=""ECO:0007829|PDB:8J0S""",,reviewed
P9WPV3,P9WPV3,ATPFD_MYCTU,ATP synthase subunit b-delta [Includes: ATP synthase subunit b (ATP synthase F(0) sector subunit b 2) (ATPase subunit I 2) (F-type ATPase subunit b 2) (F-ATPase subunit b 2); ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)],atpFH atpF atpH Rv1307 MTCY373.27,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,446,48806,SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}.,,,,,,reviewed
P9WQ27,P9WQ27,BE_MYCTU,"Probable 1,4-alpha-glucan branching enzyme Rv3031 (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Branching enzyme) (BE)",Rv3031,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,526,57815,,,,,,,reviewed
P9WQ49,P9WQ49,FAD21_MYCTU,Putative fatty-acid--CoA ligase FadD21 (EC 6.2.1.-) (Acyl-CoA synthetase),fadD21 Rv1185c MTV005.21c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,578,62757,,,,,,,reviewed
P9WQ59,P9WQ59,FAA28_MYCTU,Long-chain-fatty-acid--AMP ligase FadD28 (EC 6.2.1.49) (Acyl-AMP synthetase) (FAAL28) (Long-chain fatty acid adenylyltransferase FadD28),fadD28 acoas Rv2941,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,580,62641,,,"HELIX 6..16; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 41..55; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 73..84; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 103..111; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 123..128; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 144..146; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 185..199; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 224..228; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 230..235; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 244..249; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 252..257; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 270..279; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 283..285; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 305..314; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 316..318; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 322..324; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 354..358; /evidence=""ECO:0007829|PDB:3T5A""; HELIX 418..425; /evidence=""ECO:0007829|PDB:3T5A""","STRAND 20..27; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 35..40; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 64..68; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 88..92; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 114..118; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 140..143; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 164..169; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 181..184; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 211..215; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 239..241; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 260..268; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 295..298; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 300..302; /evidence=""ECO:0007829|PDB:3E53""; STRAND 325..331; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 336..340; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 349..352; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 367..369; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 371..374; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 380..387; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 401..407; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 441..451; /evidence=""ECO:0007829|PDB:3T5A""; STRAND 454..459; /evidence=""ECO:0007829|PDB:3T5A""","TURN 28..30; /evidence=""ECO:0007829|PDB:3T5A""; TURN 120..122; /evidence=""ECO:0007829|PDB:3T5A""; TURN 201..205; /evidence=""ECO:0007829|PDB:3T5A""; TURN 332..335; /evidence=""ECO:0007829|PDB:3T5A""; TURN 389..391; /evidence=""ECO:0007829|PDB:3T5A""",,reviewed
P9WQ71,P9WQ71,ISCSL_MYCTU,IscS-like cysteine desulfurase (EC 2.8.1.7),iscS Rv3025c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,393,40947,,,"HELIX 14..24; /evidence=""ECO:0007829|PDB:4ISY""; HELIX 35..54; /evidence=""ECO:0007829|PDB:4ISY""; HELIX 59..61; /evidence=""ECO:0007829|PDB:4ISY""; HELIX 68..86; /evidence=""ECO:0007829|PDB:4ISY""; HELIX 101..114; /evidence=""ECO:0007829|PDB:4ISY""; HELIX 131..139; /evidence=""ECO:0007829|PDB:4ISY""; HELIX 162..171; /evidence=""ECO:0007829|PDB:4ISY""; HELIX 243..258; /evidence=""ECO:0007829|PDB:4ISY""; HELIX 260..281; /evidence=""ECO:0007829|PDB:4ISY""; HELIX 309..318; /evidence=""ECO:0007829|PDB:4ISY""; HELIX 338..342; /evidence=""ECO:0007829|PDB:4ISY""; HELIX 347..350; /evidence=""ECO:0007829|PDB:4ISY""; HELIX 364..385; /evidence=""ECO:0007829|PDB:4ISY""","STRAND 62..67; /evidence=""ECO:0007829|PDB:4ISY""; STRAND 92..96; /evidence=""ECO:0007829|PDB:4ISY""; STRAND 117..121; /evidence=""ECO:0007829|PDB:4ISY""; STRAND 144..148; /evidence=""ECO:0007829|PDB:4ISY""; STRAND 176..179; /evidence=""ECO:0007829|PDB:4ISY""; STRAND 197..202; /evidence=""ECO:0007829|PDB:4ISY""; STRAND 213..217; /evidence=""ECO:0007829|PDB:4ISY""; STRAND 283..287; /evidence=""ECO:0007829|PDB:4ISY""; STRAND 299..304; /evidence=""ECO:0007829|PDB:4ISY""; STRAND 353..357; /evidence=""ECO:0007829|PDB:4ISY""","TURN 6..8; /evidence=""ECO:0007829|PDB:4ISY""; TURN 154..156; /evidence=""ECO:0007829|PDB:4ISY""; TURN 181..186; /evidence=""ECO:0007829|PDB:4ISY""; TURN 191..193; /evidence=""ECO:0007829|PDB:4ISY""; TURN 234..236; /evidence=""ECO:0007829|PDB:4ISY""",,reviewed
P9WQ81,P9WQ81,BIOA_MYCTU,"Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (7,8-diaminopelargonic acid synthase) (DAPAS) (Diaminopelargonic acid synthase)",bioA Rv1568 MTCY336.35c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,437,46319,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00834}.,,"HELIX 10..20; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 62..65; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 74..86; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 98..110; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 124..141; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 162..165; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 176..181; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 197..210; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 211..213; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 235..247; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 268..271; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 283..286; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 299..305; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 323..337; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 341..356; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 357..361; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 385..393; /evidence=""ECO:0007829|PDB:4WYD""; HELIX 416..433; /evidence=""ECO:0007829|PDB:4WYD""","STRAND 36..43; /evidence=""ECO:0007829|PDB:4WYD""; STRAND 45..50; /evidence=""ECO:0007829|PDB:4WYD""; STRAND 53..59; /evidence=""ECO:0007829|PDB:4WYD""; STRAND 92..96; /evidence=""ECO:0007829|PDB:4WYD""; STRAND 115..123; /evidence=""ECO:0007829|PDB:4WYD""; STRAND 149..153; /evidence=""ECO:0007829|PDB:4WYD""; STRAND 173..175; /evidence=""ECO:0007829|PDB:4WYF""; STRAND 186..188; /evidence=""ECO:0007829|PDB:4WYD""; STRAND 214..219; /evidence=""ECO:0007829|PDB:4WYD""; STRAND 221..224; /evidence=""ECO:0007829|PDB:4WYD""; STRAND 250..254; /evidence=""ECO:0007829|PDB:4WYD""; STRAND 264..267; /evidence=""ECO:0007829|PDB:4WYD""; STRAND 277..281; /evidence=""ECO:0007829|PDB:4WYD""; STRAND 293..298; /evidence=""ECO:0007829|PDB:4WYD""; STRAND 308..310; /evidence=""ECO:0007829|PDB:4XJM""; STRAND 365..370; /evidence=""ECO:0007829|PDB:4WYD""; STRAND 375..381; /evidence=""ECO:0007829|PDB:4WYD""; STRAND 405..408; /evidence=""ECO:0007829|PDB:4WYD""","TURN 170..172; /evidence=""ECO:0007829|PDB:4WYD""; TURN 226..228; /evidence=""ECO:0007829|PDB:4WYD""; TURN 256..263; /evidence=""ECO:0007829|PDB:4WYD""; TURN 318..321; /evidence=""ECO:0007829|PDB:4WYD""; TURN 338..340; /evidence=""ECO:0007829|PDB:4XJO""; TURN 394..396; /evidence=""ECO:0007829|PDB:4WYD""",,reviewed
P9WQ87,P9WQ87,BIOF1_MYCTU,8-amino-7-oxononanoate synthase 1 (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase),bioF1 Rv1569 MTCY336.34c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,386,40028,,,,,,,reviewed
P9WQB1,P9WQB1,DHA_MYCTU,Alanine dehydrogenase (EC 1.4.1.1) (40 kDa antigen) (TB43),ald Rv2780 MTV002.45,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,371,38713,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10527947}.,,"HELIX 20..28; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 41..43; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 47..53; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 61..67; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 79..84; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 97..99; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 101..110; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 117..119; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 131..148; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 151..153; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 178..189; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 201..210; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 222..231; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 252..255; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 267..270; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 301..304; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 306..335; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 337..340; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 353..359; /evidence=""ECO:0007829|PDB:2VHW""; HELIX 367..370; /evidence=""ECO:0007829|PDB:2VHW""","STRAND 2..5; /evidence=""ECO:0007829|PDB:2VHW""; STRAND 32..36; /evidence=""ECO:0007829|PDB:2VHW""; STRAND 56..59; /evidence=""ECO:0007829|PDB:2VHW""; STRAND 69..72; /evidence=""ECO:0007829|PDB:2VHW""; STRAND 90..93; /evidence=""ECO:0007829|PDB:2VHW""; STRAND 113..116; /evidence=""ECO:0007829|PDB:2VHW""; STRAND 170..174; /evidence=""ECO:0007829|PDB:2VHW""; STRAND 193..199; /evidence=""ECO:0007829|PDB:2VHW""; STRAND 214..219; /evidence=""ECO:0007829|PDB:2VHW""; STRAND 233..237; /evidence=""ECO:0007829|PDB:2VHW""; STRAND 242..244; /evidence=""ECO:0007829|PDB:6O7F""; STRAND 263..266; /evidence=""ECO:0007829|PDB:2VHW""; STRAND 283..285; /evidence=""ECO:0007829|PDB:2VHW""; STRAND 287..290; /evidence=""ECO:0007829|PDB:2VHW""; STRAND 293..296; /evidence=""ECO:0007829|PDB:2VHW""; STRAND 298..300; /evidence=""ECO:0007829|PDB:6O7F""; STRAND 343..346; /evidence=""ECO:0007829|PDB:2VHW""; STRAND 360..362; /evidence=""ECO:0007829|PDB:2VOJ""","TURN 37..40; /evidence=""ECO:0007829|PDB:2VHW""; TURN 128..130; /evidence=""ECO:0007829|PDB:2VHW""; TURN 211..213; /evidence=""ECO:0007829|PDB:2VHW""",,reviewed
P9WQD1,P9WQD1,ACSA_MYCTU,Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme),acsA acs Rv3667 MTV025.015,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,651,71476,,,,,,,reviewed
P9WQD7,P9WQD7,KASB_MYCTU,3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.294) (Beta-ketoacyl-ACP synthase 2) (KAS 2) (Beta-ketoacyl-acyl carrier protein synthase KasB) (Meromycolic acid 3-oxoacyl-(acyl carrier protein) synthase II),kasB Rv2246 MTCY427.27,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,417,44277,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,,"HELIX 28..36; /evidence=""ECO:0007829|PDB:2GP6""; HELIX 48..53; /evidence=""ECO:0007829|PDB:2GP6""; HELIX 73..77; /evidence=""ECO:0007829|PDB:2GP6""; HELIX 81..96; /evidence=""ECO:0007829|PDB:2GP6""; HELIX 119..128; /evidence=""ECO:0007829|PDB:2GP6""; HELIX 140..144; /evidence=""ECO:0007829|PDB:2GP6""; HELIX 148..156; /evidence=""ECO:0007829|PDB:2GP6""; HELIX 169..171; /evidence=""ECO:0007829|PDB:2GP6""; HELIX 172..185; /evidence=""ECO:0007829|PDB:2GP6""; HELIX 203..210; /evidence=""ECO:0007829|PDB:2GP6""; HELIX 251..255; /evidence=""ECO:0007829|PDB:2GP6""; HELIX 285..297; /evidence=""ECO:0007829|PDB:2GP6""; HELIX 316..330; /evidence=""ECO:0007829|PDB:2GP6""; HELIX 341..344; /evidence=""ECO:0007829|PDB:2GP6""; HELIX 351..365; /evidence=""ECO:0007829|PDB:2GP6""","STRAND 13..21; /evidence=""ECO:0007829|PDB:2GP6""; STRAND 42..44; /evidence=""ECO:0007829|PDB:2GP6""; STRAND 59..61; /evidence=""ECO:0007829|PDB:2GP6""; STRAND 106..112; /evidence=""ECO:0007829|PDB:2GP6""; STRAND 133..136; /evidence=""ECO:0007829|PDB:2GP6""; STRAND 190..197; /evidence=""ECO:0007829|PDB:2GP6""; STRAND 229..231; /evidence=""ECO:0007829|PDB:2GP6""; STRAND 243..250; /evidence=""ECO:0007829|PDB:2GP6""; STRAND 263..272; /evidence=""ECO:0007829|PDB:2GP6""; STRAND 277..279; /evidence=""ECO:0007829|PDB:2GP6""; STRAND 305..309; /evidence=""ECO:0007829|PDB:2GP6""; STRAND 375..377; /evidence=""ECO:0007829|PDB:2GP6""; STRAND 397..404; /evidence=""ECO:0007829|PDB:2GP6""; STRAND 408..415; /evidence=""ECO:0007829|PDB:2GP6""","TURN 6..9; /evidence=""ECO:0007829|PDB:2GP6""; TURN 211..213; /evidence=""ECO:0007829|PDB:2GP6""; TURN 223..225; /evidence=""ECO:0007829|PDB:2GP6""; TURN 256..258; /evidence=""ECO:0007829|PDB:2GP6""; TURN 302..304; /evidence=""ECO:0007829|PDB:2GP6""; TURN 348..350; /evidence=""ECO:0007829|PDB:2GP6""; TURN 405..407; /evidence=""ECO:0007829|PDB:2GP6""",,reviewed
P9WQE9,P9WQE9,PHAS_MYCTU,Phthioceranic/hydroxyphthioceranic acid synthase (EC 2.3.1.287) (Polyketide synthase pks2),pks2 msl2 Rv3825c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,2126,225776,,,,,,,reviewed
P9WQF5,P9WQF5,LEUC_MYCTU,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase),leuC Rv2988c MTV012.02c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,473,50185,,,,,,,reviewed
P9WQJ7,P9WQJ7,IRTB_MYCTU,Mycobactin import ATP-binding/permease protein IrtB (EC 7.2.2.-) (Iron-regulated transporter B),irtB Rv1349 MTCY02B10.13,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,579,60954,"SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:18461140}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:18461140}.",,"HELIX 18..24; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 26..36; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 38..45; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 50..53; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 55..96; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 102..104; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 107..118; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 122..125; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 132..149; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 154..161; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 163..192; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 195..201; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 203..207; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 212..225; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 230..264; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 270..283; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 285..292; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 295..311; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 373..380; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 397..399; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 423..427; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 440..443; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 449..452; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 458..460; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 478..485; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 504..513; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 555..557; /evidence=""ECO:0007829|PDB:7WIV""; HELIX 560..570; /evidence=""ECO:0007829|PDB:7WIV""","STRAND 3..5; /evidence=""ECO:0007829|PDB:7WIW""; STRAND 46..48; /evidence=""ECO:0007829|PDB:7WIU""; STRAND 336..339; /evidence=""ECO:0007829|PDB:7WIV""; STRAND 343..346; /evidence=""ECO:0007829|PDB:7WIV""; STRAND 349..352; /evidence=""ECO:0007829|PDB:7WIV""; STRAND 361..365; /evidence=""ECO:0007829|PDB:7WIV""; STRAND 367..369; /evidence=""ECO:0007829|PDB:7WIU""; STRAND 370..372; /evidence=""ECO:0007829|PDB:7WIW""; STRAND 381..383; /evidence=""ECO:0007829|PDB:7WIV""; STRAND 386..392; /evidence=""ECO:0007829|PDB:7WIW""; STRAND 404..408; /evidence=""ECO:0007829|PDB:7WIV""; STRAND 410..412; /evidence=""ECO:0007829|PDB:7WIV""; STRAND 420..422; /evidence=""ECO:0007829|PDB:7WIV""; STRAND 455..457; /evidence=""ECO:0007829|PDB:7WIV""; STRAND 464..466; /evidence=""ECO:0007829|PDB:7WIV""; STRAND 489..494; /evidence=""ECO:0007829|PDB:7WIV""; STRAND 498..500; /evidence=""ECO:0007829|PDB:7WIW""; STRAND 520..524; /evidence=""ECO:0007829|PDB:7WIV""; STRAND 526..528; /evidence=""ECO:0007829|PDB:7WIW""; STRAND 535..541; /evidence=""ECO:0007829|PDB:7WIV""; STRAND 544..549; /evidence=""ECO:0007829|PDB:7WIV""","TURN 6..8; /evidence=""ECO:0007829|PDB:7WIW""; TURN 15..17; /evidence=""ECO:0007829|PDB:7WIV""; TURN 97..99; /evidence=""ECO:0007829|PDB:7WIV""; TURN 128..131; /evidence=""ECO:0007829|PDB:7WIV""; TURN 150..152; /evidence=""ECO:0007829|PDB:7WIV""; TURN 208..210; /evidence=""ECO:0007829|PDB:7WIV""; TURN 324..327; /evidence=""ECO:0007829|PDB:7WIV""; TURN 428..430; /evidence=""ECO:0007829|PDB:7WIV""; TURN 444..447; /evidence=""ECO:0007829|PDB:7WIV""; TURN 472..476; /evidence=""ECO:0007829|PDB:7WIV""; TURN 529..531; /evidence=""ECO:0007829|PDB:7WIV""; TURN 551..554; /evidence=""ECO:0007829|PDB:7WIV""",,reviewed
